,date,open,high,low,close,volume,marketcap
868,2016-11-12,3.81,3.83,3.75,3.76,2592430,182214528
869,2016-11-11,3.84,3.84,3.8,3.82,2124360,184683452
870,2016-11-10,3.86,3.87,3.81,3.82,2334820,185020476
871,2016-11-09,3.85,3.94,3.81,3.86,2894790,186910333
872,2016-11-08,3.84,3.86,3.82,3.84,2493340,185797751
873,2016-11-07,3.89,3.89,3.79,3.84,2806430,185558516
874,2016-11-06,3.86,3.92,3.84,3.89,2192880,187941022
875,2016-11-05,3.88,3.93,3.85,3.87,2318820,186796717
876,2016-11-04,3.86,3.89,3.82,3.88,3481430,187331688
877,2016-11-03,4.11,4.18,3.81,3.86,5883490,186428794
878,2016-11-02,4.09,4.13,4.05,4.1,3646100,198109559
879,2016-11-01,4.0,4.15,3.99,4.09,4714890,197264086
880,2016-10-31,4.04,4.05,3.98,3.99,3893350,192650974
881,2016-10-30,4.1,4.1,4.02,4.03,4364420,194515844
882,2016-10-29,3.98,4.1,3.97,4.09,5732580,197172900
883,2016-10-28,4.04,4.04,3.95,3.97,4260230,191472767
884,2016-10-27,3.96,4.06,3.96,4.02,6216070,193738394
885,2016-10-26,3.91,3.97,3.9,3.96,5418040,190729860
886,2016-10-25,3.87,3.92,3.87,3.9,3154970,187977543
887,2016-10-24,3.92,3.92,3.87,3.87,2999400,186205733
888,2016-10-23,3.89,3.94,3.89,3.92,3927550,188503414
889,2016-10-22,3.81,3.91,3.8,3.89,3858130,186897442
890,2016-10-21,3.79,3.83,3.76,3.81,2881980,182998023
891,2016-10-20,3.81,3.82,3.77,3.78,2417550,181674024
892,2016-10-19,3.85,3.86,3.78,3.8,2243800,182829267
893,2016-10-18,3.95,4.23,3.83,3.84,1790400,184472061
894,2016-10-17,3.89,3.92,3.86,3.91,1716740,187820567
895,2016-10-16,3.88,3.91,3.88,3.89,2160150,186560093
896,2016-10-15,3.9,3.91,3.87,3.87,1664980,185881497
897,2016-10-14,3.91,3.92,3.89,3.9,2142390,187040774
898,2016-10-13,3.75,3.92,3.75,3.91,3798640,187419177
899,2016-10-12,3.82,3.83,3.76,3.76,3154520,180263887
900,2016-10-11,3.8,3.84,3.79,3.82,2025380,182980637
901,2016-10-10,3.82,3.83,3.78,3.8,1420790,181914089
902,2016-10-09,3.84,3.85,3.81,3.82,1239070,182812939
903,2016-10-08,3.86,3.87,3.84,3.84,1544210,183856524
904,2016-10-07,3.84,3.86,3.83,3.86,1596220,184967981
905,2016-10-06,3.85,3.86,3.83,3.85,1415940,184158504
906,2016-10-05,3.83,3.85,3.83,3.84,1394850,183940961
907,2016-10-04,3.84,3.84,3.82,3.82,1116870,182929230
908,2016-10-03,3.85,3.85,3.83,3.84,1207110,183587392
909,2016-10-02,3.85,3.88,3.82,3.84,1373630,183737744
910,2016-10-01,3.85,3.86,3.84,3.85,1426340,184011016
911,2016-09-30,3.84,3.85,3.82,3.84,2104930,183588352
912,2016-09-29,3.84,3.86,3.83,3.85,1674200,183707883
913,2016-09-28,3.85,3.87,3.83,3.84,1905040,183288012
914,2016-09-27,3.86,3.87,3.84,3.85,1734250,183933209
915,2016-09-26,3.8,3.87,3.8,3.86,2148250,184190314
916,2016-09-25,3.8,3.81,3.78,3.81,1540650,181734767
917,2016-09-24,3.81,3.84,3.8,3.81,2118420,181526027
918,2016-09-23,3.77,3.82,3.76,3.81,1572350,181843127
919,2016-09-22,3.86,3.86,3.77,3.77,1445220,179621930
920,2016-09-21,3.87,3.87,3.76,3.84,3853090,183035891
921,2016-09-20,3.83,3.86,3.82,3.84,2263260,183063990
922,2016-09-19,4.04,4.2,3.82,3.83,1606420,182489373
923,2016-09-18,3.81,4.09,3.81,4.04,1727830,192536111
924,2016-09-17,3.8,3.82,3.8,3.81,1568340,181149424
925,2016-09-16,3.82,3.83,3.8,3.81,1663730,181129367
926,2016-09-15,3.83,3.84,3.8,3.81,1793220,181347917
927,2016-09-14,3.82,3.85,3.82,3.83,1322330,182256300
928,2016-09-13,3.83,3.85,3.81,3.82,2219650,181702836
929,2016-09-12,3.87,3.87,3.79,3.82,2454330,181721781
930,2016-09-11,3.97,3.99,3.85,3.86,2100480,183200109
931,2016-09-10,3.97,3.98,3.96,3.97,661652,188536390
932,2016-09-09,3.98,3.99,3.96,3.97,1450080,188523825
933,2016-09-08,3.97,4.01,3.96,3.99,2425520,189337884
934,2016-09-07,3.99,4.13,3.95,3.97,1988370,188401192
