Symbol,Week,Open,High,Low,Close,Volume
XRP,2018-11-30,0.45085803,0.56091562,0.32128353,0.36505524,9962001254.61000061
XRP,2018-10-31,0.58064192,0.60029240,0.37571534,0.45104760,10637038939.20000076
XRP,2018-09-30,0.33502137,0.72193771,0.25396095,0.57893809,12031133578.39999962
XRP,2018-08-31,0.43511149,0.45685825,0.25157615,0.33527248,2110624299.45000005
XRP,2018-07-31,0.46838669,0.51931931,0.42769371,0.43485221,1115971838.97000003
XRP,2018-06-30,0.61101617,0.70148436,0.42801825,0.46807441,1469872978.17000008
XRP,2018-05-31,0.83197506,0.92644609,0.54770893,0.61085331,2203105593.92000008
XRP,2018-04-30,0.50189079,0.95875997,0.45763362,0.83100355,3097839126.53999996
XRP,2018-03-31,0.88627721,1.08343634,0.47498867,0.50192121,2924872597.34999990
XRP,2018-02-28,1.13523082,1.22591627,0.57501840,0.88600586,5060673585.43000031
XRP,2018-01-31,1.98500081,3.28633021,0.88122959,1.12765482,7514530793.46000004
XRP,2017-12-31,0.23551326,2.45756041,0.20258242,1.98475646,9457725383.79999924
XRP,2017-11-30,0.19819241,0.28027447,0.17832149,0.23782366,2698135350.21999979
XRP,2017-10-31,0.19967061,0.29447617,0.18371893,0.19894570,2332976276.21999979
XRP,2017-09-30,0.25937295,0.25992304,0.14996258,0.19937092,1266792954.61999989
XRP,2017-08-31,0.16488089,0.29565853,0.14882624,0.25801982,1757321289.91000009
XRP,2017-07-31,0.24697559,0.25667968,0.12912534,0.16556513,945462386.18599999
XRP,2017-06-30,0.24773647,0.33716527,0.21599272,0.24771910,964894469.96500003
XRP,2017-05-31,0.05196058,0.39061120,0.05003379,0.24979878,1573123518.66000009
XRP,2017-04-30,0.02095967,0.06540783,0.01945731,0.05171736,1392716517.69000006
XRP,2017-03-31,0.00558694,0.02148546,0.00528562,0.02037500,1877584898.54999995
XRP,2017-02-28,0.00626350,0.00708597,0.00524901,0.00559176,507170789.24699998
XRP,2017-01-31,0.00647211,0.00684798,0.00574126,0.00624928,1187011533.06999993
XRP,2016-12-31,0.00670551,0.00731593,0.00597699,0.00647168,4036788514.32000017
XRP,2016-11-30,0.00810944,0.00836696,0.00659096,0.00670573,3132644864.21999979
XRP,2016-10-31,0.00865224,0.00921976,0.00714153,0.00811741,2845727461.17000008
XRP,2016-09-30,0.00614148,0.00944689,0.00580077,0.00866726,1691646268.53999996
XRP,2016-08-31,0.00583997,0.00649438,0.00540865,0.00619650,1160349257.55999994
XRP,2016-07-31,0.00766930,0.02492098,0.00581493,0.00583893,823578564.16199994
XRP,2016-06-30,0.00565062,0.04757214,0.00557150,0.00767229,2084639116.97000003
XRP,2016-05-31,0.00675980,0.00678349,0.00530784,0.00565062,707784283.27199996
XRP,2016-04-30,0.00739023,0.00761427,0.00558015,0.00675980,855811562.93499994
XRP,2016-03-31,0.00790901,0.00924755,0.00697274,0.00739478,763371611.26300001
XRP,2016-02-29,0.00643906,0.00898323,0.00633591,0.00790901,768594827.70099998
XRP,2016-01-31,0.00586013,0.00782664,0.00040280,0.00644564,645125927.38300002
XRP,2015-12-31,0.00416865,0.00973555,0.00077023,0.00586013,1068415999.92999995
XRP,2015-11-30,0.00463919,0.03932823,0.00398344,0.00416701,612411136.77999997
XRP,2015-10-31,0.00548783,0.00595822,0.00106571,0.00464426,509506517.28899997
XRP,2015-09-30,0.00747116,0.00797979,0.00498424,0.00548326,566120496.47700000
XRP,2015-08-31,0.00817020,0.00879061,0.00339630,0.00747116,384355720.41700000
XRP,2015-07-31,0.01048674,0.01118681,0.00399040,0.00815694,349774684.80800003
XRP,2015-06-30,0.00814916,0.01185215,0.00391064,0.01048676,261094175.90099999
XRP,2015-05-31,0.00793672,0.00974988,0.00335058,0.00814916,699245408.12699997
XRP,2015-04-30,0.00741611,0.00948396,0.00430997,0.00793672,434673732.06800002
XRP,2015-03-31,0.01268010,0.01273587,0.00714825,0.00740804,753549361.14100003
XRP,2015-02-28,0.01400231,0.01866959,0.01268644,0.01268644,275287977.89600003
XRP,2015-01-31,0.02400944,0.02429152,0.01334772,0.01399108,602742026.30700004
XRP,2014-12-31,0.01051551,0.02970002,0.00966295,0.02400923,836459488.20200002
XRP,2014-11-30,0.00492870,0.01890000,0.00474409,0.01078925,942957025.15499997
XRP,2014-10-31,0.00470000,0.00699974,0.00200000,0.00492870,222580709.68000001
XRP,2014-08-22,0.00500000,0.00588235,0.00200000,0.00499750,7495.37894294
XRP,2014-07-31,0.00381634,0.00655738,0.00285714,0.00500000,44238.78364260
XRP,2014-06-30,0.00400000,0.00455106,0.00377358,0.00381634,11617.49338410
XRP,2014-05-31,0.00535911,0.00740905,0.00333340,0.00400000,99217.29471870
